DENOMINACI,DIRECCIÓN,MUNICIPIO,COORDENADA,COORDENA_1,HUSO,Provincia,IET (%),ICR (%),IER (%),ISD (%)
"ANTOLIN GOMEZ
VELLERINO, S.L.","Ctra. Valle de la Serena, KM 1,8, (Paraje
Doña Blanca). Polígono 38, parcela 131",Don Benito,252312.380000000004657,4311269.629999999888241,"30",BADAJOZ,"3","461","461","3500"
"RECICLADOS EXTREMEÑOS, S.L.","Ctra. Gevora - Montijo, KM 6",Badajoz,158313.649999999994179,4314502.950000000186265,"30",BADAJOZ,"27","68","68","270"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 7, PARCELA 120",Moraleja,187773.710000000020955,4439728.559999999590218,"30",CÁCERES,"38","24","24","160"
"ARAPLASA DE
RESIDUOS, S. A.","POLIGONO 6, PARCELA 485",Nuñomoral,228425.869999999995343,4476139.429999999701977,"30",CÁCERES,"808","4","4","-88"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 2, PARCELA 1003",Cabezuela del Valle,262707.979999999981374,4455584.099999999627471,"30",CÁCERES,"170","24","24","-41"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 7, PARCELA 27",Aldeanueva del Camino,251438.130000000004657,4461248.900000000372529,"30",CÁCERES,"84","32","32","19"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 502, PARCELA 50040",Ceclavín,175403.829999999987194,4417235.589999999850988,"30",CÁCERES,"3155","34","34","-97"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 9, PARCELA 148",Montehermoso,212655.250000000000000,4440745.530000000260770,"30",CÁCERES,"21","74","74","373"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 13, PARCELA 264",Jaraíz de la Vera,265241.099999999976717,4434303.290000000037253,"30",CÁCERES,"44","50","50","125"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 7, PARCELA 17",Navalmoral de la Mata,277614.510000000009313,4425771.919999999925494,"30",CÁCERES,"46","18","18","120"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 4, PARCELA 315",Jarandilla de la Vera,274751.830000000016298,4444075.379999999888241,"30",CÁCERES,"46","21","21","116"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 50, PARCELA 18",Plasencia,233399.980000000010477,4433279.070000000298023,"30",CÁCERES,"3","559","559","3393"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 12, PARCELA 9013",Cañaveral,211264.239999999990687,4410209.530000000260770,"30",CÁCERES,"1787","1","1","-94"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 5, PARCELA 1",Cadalso,200408.160000000003492,4463480.730000000447035,"30",CÁCERES,"209","12","12","-52"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 18, PARCELA 18",Coria,199699.470000000001164,4425925.120000000111759,"30",CÁCERES,"9","87","87","965"
"ARAPLASA DE
RESIDUOS, S.A.","POLIGONO 21, PARCELA 27",Serradilla,232832.899999999994179,4412684.809999999590218,"30",CÁCERES,"110","36","36","-9"
"RECICLADOS CACERES
SUR","POLIGONO 28, PARCELA 174",Valencia de Alcántara,135693.929999999993015,4371582.410000000149012,"30",CÁCERES,"100","34","34","0"
"RECICLADOS CACERES
SUR","POLIGONO 28, PARCELA 174 / Poligono 23 Parcela 63",Trujillo,254633.119999999995343,4374790.129999999888241,"30",CÁCERES,"41","73","73","147"
"RECICLADOS CÁCERES
SUR, S.A","POLIGONO 14, PARCELA 8",Montánchez,226277.779999999969732,4347202.200000000186265,"30",CÁCERES,"156","26","26","-36"
"RECICLADOS CÁCERES
SUR, S.A","Polígono 25, parcela 199",Castañar de Ibor,291158.099999999976717,4389755.169999999925494,"30",CÁCERES,"22890","1","1","-100"
"RECICLADOS CÁCERES
SUR, S.A",POLIGONO 14 PARCELA 210,Brozas,174953.220000000030268,4390390.259999999776483,"30",CÁCERES,"63","68","68","58"
"RECICLADOS CÁCERES
SUR, S.A",POLÍGONO EL PALOMAR,Logrosán,286394.849999999976717,4356344.519999999552965,"30",CÁCERES,"63","31","31","60"
"RECICLADOS CACERES
SUR, S.A.","CTRA. N630, KM. 645",Cáceres,205351.790000000008149,4379955.980000000447035,"29",CÁCERES,"6","97","97","1518"
