Plant,MaxRatio,MinRatio,AnisotropyCoefficient,NumMunicipalities,MeanRatio,StdRatio,MuniGroup
18,6.128877017072574,1.0755065621221835,5.698595650573352,7,2.552069596282053,1.8021641248651825,6-10
14,9.254490162760144,1.0451394452722997,8.854789860456359,19,2.0716238067433292,1.7649872535418403,11-20
3,2.549376344040057,1.3186624624395953,1.933304705833194,10,1.8355401432592306,0.37761551630083845,6-10
9,2.508675387831165,1.105607755755567,2.2690464812421185,16,1.4838578259500104,0.3325025364232731,11-20
4,6.128877017072574,1.0879433695934109,5.633452244268076,11,2.175296255874043,1.5330716762993974,11-20
13,1.4101687968049124,1.097678754899062,1.2846825999967408,12,1.230979844087141,0.09779366632966867,11-20
10,4.277204319080721,1.1433622669770143,3.7409003625678583,21,1.570210628178566,0.6366841225924903,20+
15,2.4037116643861096,1.3834703563191162,1.7374507906200927,8,1.6488161109156552,0.3056863428855389,6-10
39,2.8428628424554554,1.272807576864905,2.233537020150215,10,1.5717532280293844,0.43655667616280314,6-10
7,1.4235545302396544,1.2880241480194718,1.1052234792558668,4,1.3477745174275573,0.054690363708711484,1-5
17,2.469195800588974,1.0651178294949868,2.318237224288804,9,1.620403505562168,0.45832036160162726,6-10
8,10.272104692947682,1.189223686213839,8.637655650512006,11,2.181041655681758,2.5629505090349483,11-20
6,2.524091065946648,1.4098576487015948,1.7903162551703031,7,1.8340916278015256,0.41059542979946867,6-10
45,2.5076472098269615,1.1388835334972505,2.2018469282162254,12,1.6676199977756536,0.46763977917044264,11-20
11,3.179694556333409,1.0843243942563567,2.932420014873947,17,1.6378385525972794,0.5419202605449637,11-20
2,4.277204319080721,1.0669674060567358,4.008748809758188,9,1.6636821876065948,0.95796615930122,6-10
5,10.272104692947682,1.226422823283878,8.375663350297922,16,2.192915864667569,2.100501198462944,11-20
16,1.7062790867619497,1.3892519584374856,1.2281998786462247,3,1.5632364674387205,0.13126207989120708,1-5
41,2.195299356520917,1.0980595028943794,1.9992535474938462,22,1.5513512193241454,0.3051129375493982,20+
46,2.0874639234316366,1.2466051983514745,1.6745188662714736,9,1.578196162527354,0.25895088633940894,6-10
29,6.692743705848934,1.2159679316671752,5.504046226509217,13,1.9771869917094518,1.3855603177224813,11-20
34,4.577425785591407,1.2780521823175275,3.581564077681894,16,2.2037431750149845,0.7383937277475348,11-20
32,6.692743705848934,1.075540008991889,6.222682233943197,7,2.105697889610778,1.896401144997399,6-10
19,4.027318536892021,1.1338925022806572,3.551763971268586,11,1.8129863786575449,0.7644457071779129,11-20
27,2.0267878865169586,1.4047234576296668,1.4428376457363108,2,1.7157556720733127,0.3110322144436459,1-5
20,2.7817740246682763,1.5436154732658376,1.8021159238465383,13,1.9407643353794926,0.3480944916294219,11-20
26,2.3399789478030018,1.2440131062779312,1.88099219855021,11,1.7965944976005588,0.3056579424037698,11-20
25,1.8793252929306123,1.1599935139854844,1.6201170698564176,13,1.4974198691543739,0.2482516209772867,11-20
28,2.034962571363462,1.3557576196048688,1.5009781556356256,11,1.6768545729584756,0.20564288222498,11-20
22,5.463747520049726,1.3154814676581617,4.153420366899098,13,2.4169820201708405,1.3008573944000685,11-20
44,2.0628345467903557,1.1558801719980334,1.7846439421350897,8,1.5028881900563755,0.3459410512080275,6-10
24,1.6592687793900163,1.1558801719980334,1.4355024158964804,5,1.3829447088299254,0.18425003098002207,1-5
43,1.9721980081601265,1.1879543021434937,1.6601631936528005,3,1.5644287107279418,0.3209299769499777,1-5
23,5.463747520049726,1.113948657360407,4.904846811339156,18,2.022508974288397,1.2904775408379858,11-20
33,1.9887663331283016,1.2239022496280247,1.6249388656101733,4,1.5483562254209164,0.27854963729808374,1-5
21,5.587533896766775,1.375004022876178,4.063649126697824,11,2.159076376021985,1.1415180217420762,11-20
31,2.7817740246682763,1.109340749744805,2.507592031851531,18,1.8037816822292116,0.48864239691100064,11-20
35,3.0580820605528904,1.1912530798636602,2.5671136656392863,4,1.6756891527132565,0.798610438563845,1-5
37,4.577425785591407,1.193074212979561,3.836664757140153,10,1.8012550220125298,0.9572412587781923,6-10
30,2.1998911524437386,1.365602409488308,1.6109309248129104,10,1.7773787928268323,0.281200193936892,6-10
42,2.878926556350932,1.1642477866317407,2.4727782087350065,13,2.1676691350459283,0.6127918465683984,11-20
40,1.7880514724778351,1.3989805349944844,1.2781103294513563,4,1.5578783907502693,0.15479205043144356,1-5
36,1.9721980081601265,1.0268223738987357,1.920680789874007,8,1.466908098629505,0.2930505253304235,6-10
1,1.6077672845047997,1.0669674060567358,1.5068569811768993,4,1.3020387334688017,0.1951712904619767,1-5
38,1.7033884854685997,1.2531092108473552,1.3593296344193055,3,1.42505338625185,0.1986238115812188,1-5
12,1.722721525126015,1.2099514769233137,1.4237938942035777,5,1.4147721059735603,0.20929348252833882,1-5
